n_tombo;ano_edicao;classificacao;titulo_livro;autor;volume;assunto
274/82;1974;294 / Ac 168s;Sri Isopanisad;A. C. Bhaktivedanta;1;Religiões Hindus
1292/86;1978;813 / L 278f;A Face oculta do Terror;A. J. Langguth;1;Literatura Americana - Romance
0209/95;1989;813 / Aa113e;Estado Escarlete;Aaron_ David;1;Literatura Americana - Romance
0194/91;1982;R 103 / Ab 122d;Dicionário de Filosofia;Abbagnano_ Nicola ;1;Filosofia - Dicionários
851/76;1969;109 / Ab 122h;História da Filosofia;Abbagnano_ Nicola ;1;Filosofia - História
0029/87;1945;R 981 / Ab 124h;História da Missão dos Padres Capuchinhos na Ilha do Maranhão;Abbeville_ Claude d;1;Brasil – História - Índios
927/89;1980;808.3 / Ab 124c;A Chama Negra I;Abbey_ Lynn ;1;Ficção Científica
697/90;1979;808.3 / Ab 124f;Filha da Lua Brilhante II;Abbey_ Lynn ;1;Ficção Científica
0159/18 - 0011/23;2015;869.3 / A 134a;Alice Black_ princesinha do inferno;Abbud_ Carlos Henrique;2;Literatura Brasileira
0161/18 - 0073/23;2017;869.3 / A 134v;A vida é uma tarde de chuva;Abbud_ Carlos Henrique;2;Ficção Brasileira
362/84;1978;869.91 / Ab 126c;Cantigas que Vêm da Montanha;Abbud_ Rodolpho ;1;1-Literatura Brasileira - Trovas /2-Nova Friburgo – Poesia
614/87 – 1112/98 – 0166/05;1978;R 869.91 / Ab 126c;Cantigas que Vêm da Montanha;Abbud_ Rodolpho ;3;1-Literatura Brasileira - Trovas /2-Nova Friburgo – Poesia
0684/07;1995;R 807 / A 135m;Movimentos e Estilos Literários;Abdala Junior_ Benjamin;1;Literatura Brasileira (2º grau)
1047/87 – 1048/87 -1049/87 – 0981/03 – 0365/04;;299 / Ab 136L;Na Luz da Verdade;Abdruschin;5;Religião não Cristã
1133/98;1993;241.52 / Ab 136d;Os Dez Mandamentos de Deus e o Pai Nosso;Abdruschin;1;1-Dragão /2- Pai Nosso
438/81;1979;299 / Ab 136e;O Esplendor da Verdade;Abdu' L - Bahá;1;Bahaísmo
0045/20 - 0194/22;2003;843 / A138t;O Tesouro do templo;Abé Cassis_ Eliette;2;Literatura Francesa
419/90;1968;792 / Ab 141m;Metateatro: uma visão nova da forma dramática;Abel_ Lionel ;1;Teatro – uma visão nova da forma dramática
1021/97;1994;248 / A 148 o;Orando com Poder;Abib_ Jonas  Pe.;1;Oração 
289/89;1988;J 028.5 / Ab 149L;Um Lugar para Lunica;Abi-Sáber_ Nazira Féres;1;Literatura Infanto Juvenil
0029/17;2007;133.93 / A 159p;Peça e será atendido;Abraham ( Espírito);1;Obras Psicografadas 
458/80;1978;843 / Ab 159h;O Homem do gravador;Abrahams_ Jean -Jacques ;1;Literatura Francesa  - Romance
1221/99;1994;813 / A 159m;Mergulho na tensão;Abrahams_ Peter;1;Literatura Americana  
522/75;1974;813 / Ab 159c;Contos Premiados I;Abrahams_ William ;1;Literatura Americana – Romance
0015/06;1985;891.7 / A 158h;Homem das neves;Abramov_ A. e S. et al;1;Literatura russa-ficção científica
1399/96 – 0641/99 - 0172/10;1989;808.899282 / A 158v;As Voltas do Meu Coração;Abramovich_ Fanny;3;Literatura Juvenil
0280/15 - 0137/16;2007;808.899282 / A 1261b;Bateu bobeira e outros babados;Abramovich_ Fanny;2;Literatura Infanto-Juvenil
0171/10;1997;808.899282 / A 161c;Cruzando Caminhos;Abramovich_ Fanny ;1;Literatura Juvenil
0203/96 – 0642/99;1994;808.899282 / A 158c;Cruzando Caminhos;Abramovich_ Fanny ;2;Literatura Juvenil
0145/07 - 0146/07;1994;J 028.5 / A 158c;Cruzando Caminhos;Abramovich_ Fanny ;2;Literatura Juvenil
0137/03;1995;808.899282 / A 158c;Cruzando Caminhos;Abramovich_ Fanny ;1;Literatura Juvenil
0144/07 - 0869/07;1998;J 028.5 / A 158c;Cruzando Caminhos;Abramovich_ Fanny ;2;Literatura Juvenil
1318/89;1983;001.5 / A 158e;O Estranho mundo que se mostra às crianças;Abramovich_ Fanny ;1;1- Televisão e criança/ 2- Teatro - Infantil/ 3-Brinquedos/ 4-Gravações Sonoras/ 5-Literatura Infanto - Juvenil
0092/15;2003;808.899282 / A 161f;Falta Pouco;Abramovich_ Fanny ;1;Literatura Juvenil
FEEMA;2004;808899282 / a 158Q;Por trás das portas;Abramovich_ Fanny;2;Literatura Juvenil
1457/97;;808.899282 / A 158q;Quem manda em Mim Sou Eu;Abramovich_ Fanny ;1;Literatura Juvenil
0041/04;1985;370 / A 158q;Quem educa quem?;Abramovich_ Fanny ;1;Educação - Ensino
0041/04;1985;370 / A 158q;Quem educa quem?;Abramovich_ Fanny ;1;Educação - Ensino
0253/14;2008;808.899282/ A 158r;Rodamundo;Abramovich_ Fanny ;1;Literatura Juvenil
0149/98;1990;J 028.5 / Ab 161a;O Azar do curuçá;Abras_ Santuza;1;Literatura Infanto Juvenil
0137/98;1985;J 028.5 / Ab 161g;Gigi;Abras_ Santuza;1;Literatura Infanto Juvenil
0998/97;1992;J 028.5 / A 161c;Cabeça - de - vento_ coração atento;Abras_ Santuza;1;Literatura Infanto Juvenil
389/76;1970;351 / Ab 162a;Aposentadoria no Serviço Público;Abreu de Oliveira_ J. E.  ;1;Direito Administrativo
0317/07;1990;808.899282 / A 162f;Férias Perigosas no Mar do Caribe;Abreu Júnior_ Laerthe;1;Literatura Juvenil
0434/07;1994;R 911 / A 162m;Municípios e Topônimos Fluminenses: Históricos e Memória;Abreu_ Antônio Izaias da Costa;1;1- Rio de Janeiro (Estado) - Municípios e Topônimos /2- Municípios Fluminenses - Memória /3-Capitania do Rio de Janeiro - Composição
1298/89;s.d.;001.94 / Ab 162c;Civilizações que o Mundo Esqueceu;Abreu_ Aurélio M. G. de ;1;1-Arqueologia/ 2-Civilização Antiga/ 3-Curiosidades e Maravilhas
1292/97;1995;869.93 / Ab 162m;Morangos Mofados: Contos                ;Abreu_ Caio Fernando ;1;Contos Brasileiros
516/82 – 339/90;1982;869.93 / Ab 162m;Morangos Mofados;Abreu_ Caio Fernando ;2;Literatura Brasileira - Romance - Conto
1080/76;1970;869.93 / Ab 162L;Limite Branco;Abreu_ Caio Fernando ;1;Literatura Brasileira - Romance
0366/14;2009;869.91 / A 162c;150anos de primavera: Casimiro de Abreu;Abreu_ Casimiro de;1;Literatura Brasileira - Poesia / Poesia Brasileira
0570/07;2004;181.45 / A 162e;Encontro com a Vida;Abreu_ Christina;1;Yoga
110/76;1972;927.4692 / D 392d;Dener - O Luxo;Abreu_ Dener Pamplona de;1;Biografia  
704/80 – 705/80;1970;R 336  /Ab 162i;IPI Classificação de Produtos na Tabela Anexa ao Regulamento do Impostosobre Produtos Industrializados;Abreu_ Durval Ferreira de e Outro;2;Imposto sobre Produtos Industrializados
0221/01;1994;J 028.5 / Ab 162q;Qual é_ Bicho?;Abreu_ Gérson de;1;Literatura Infanto Juvenil
0224/01;1994;J 028.5 / Ab 162c;Cadê o cachorro?;Abreu_ Gérson de;1;Literatura Infanto Juvenil
0254/01;1994;J 028.5 / Ab 162g;O Gordo invisível;Abreu_ Gérson de;1;Literatura Infanto Juvenil
0255/01;1995;J 028.5 / Ab 162s;O Sarcófago da múmia;Abreu_ Gérson de;1;Literatura Infanto Juvenil
223/80 – 0350/04;1979;320.981 / Ab 162o;O Outro Lado do Poder;Abreu_ Hugo ;2;Brasil – Política e Governo
377/84;1980;320.981 / Ab 162t;Tempo de Crise;Abreu_ Hugo ;1;Brasil – Política e Governo
4946;1960;923 / T 266a;Anísio Teixeira: Pensamento e Ação;Abreu_ Jayme e Outros;1;1-Teixeira _ Anísio /2-Educação
333/78 – 380/78;1976;869.94 / Ab 162e;Ensaios e Estudos                              ;Abreu_ João Capristano de ;2;1-Ensaios Brasileiros/ 2-Brasil – História - Fontes
102/87;1982;981 / C 243c;Capítulos de História Colonial: 1500-1800 & Os Caminhos Antigos e o Povoamento do Brasil;Abreu_ João Capristano de ;1;Brasil – História 
2648;1934;981 / C 243c;Capítulos de História Colonial: 1500-1800 ;Abreu_ João Capristano de ;1;Brasil – História 
310/78;1975;981/ Ab 162c;Caminhos Antigos e Povoamento do Brasil;Abreu_ João Capristano de ;1;Brasil - História - Fontes 
311/78;1975;869.94 / Ab 162e;Ensaios e Estudos;Abreu_ João Capristano de ;1;Literatura Brasileira –  História e Crítica
0382/23;2013;158.1 / A 162e;Escolha sua vida;Abreu_ Paula;1;Auto ajuda
232/88;1986;342 / Ab 162q;O Que Todo Cidadão Precisa Saber Sobre Constituição;Abreu_ Sérgio França Adorno de ;1;Constituição
1170/90;1960;R 333.981 / Ab 162r;Recursos Minerais do Brasil;Abreu_ Sylvio Fróes ;1;Minerais do Brasil – Recursos
1162/90;1979;388 / Ab 162t;Trânsito : como policiar e se policiado sem infrações;Abreu_ Valdir de ;1;Trânsto Legislação - Brasil
23/76;1972;921 / Ab 678p;Os Pensadores -  Sócrates – Platão-Xenofonte - Aristófanes;Abril Cultural;1;Biografia
0482/99;1994;305.4 / A 167m;Megatendências para as mulheres;Aburdene_ Patrícia ;1;1-Mulher Brasileira /2-Mulheres – Condições Sociais 
0560/07;2003;025.3 / A 168a;Arquivo Machado de Assis: Inventário;Academia Brasileira de Letras;1;1- Academia Brasileira de Letras - Arquivos /2- Machado de Assis - arquivos
1265;1943;R 469.3 /Ac 168p;Pequeno Vocabulário Ortográfico da Língua Portuguesa;Academia Brasileira de Letras;1;Língua Portuguesa – Vocabulário - Glossário
1689/90 – 0252/97;1981;R 469.152 /Ac168v;Vocabulário ortográfico da língua portuguesa;Academia Brasileira de Letras;2;Português  - Ortografia – Vocabulários_ glossários etc.
488/77;1967;R 901.9 / Ac 171h;História Geral da Civilização;Accioli_ Roberto;1;História - Geral - Civilizações
0598/05;2003;869.93 / A 171a;O assombro de Duca Lourenço: estórias;Accioly_ Antônio R.;1;Literatura Brasileira - Contos
7607;1962;869.93  /  Ac 171c;Os Cata-Ventos;Accioly_ Breno ;1;Literatura Brasileira - Conto
0450/05;1984;869.93 / Ac 171m;Os melhores contos de Breno Accioly;Accioly_ Breno ;1;Literatura Brasileira – Contos
6672;1955;869.93  /  Ac 171m;Maria Pudim;Accioly_ Breno ;1;Literatura Brasileira - Conto
0063/98;1997;920.133 / A174s;Sete Vidas Esotéricas : de Paracelso a Rasputin;Aceves_ Octavio ;1;"Biografia de : 1- Bruno _ Giordano; 2-Cagliostro; 3-Rasputin; 4-Saint-Germain_ Conde de; 5-Paracelso; 6-Lévi_ Eliphas"
0516/96;c 1979;R 615.53 /Ac 176m;Medicina natural ao alcance de todos;Acharan_ Manuel Lezaeta ;1;1-Sistemas terapêuticos / 2-Medicina Popular / 3-Medicina Popular
395/90;1980;869.91 /Ac 181o;Ò de Itabira;Acióli_ Marcos ;1;Literatura Brasileira - Poesia
1139/88;1975;658.4 / Ac 182p;Planejamento Empresarial;Ackoff_ Russel L. ;1;1-Administração de Empresas /2-Planejamento
2144/90;1988;823 / Ac 182d;Duplo Diabólico;Ackroyd_ Peter  ;1;Literatura  Inglesa – Romance
164/81;1960;808.899282 / Ac 186h;História da Navegação. A Conquista do Mar;Acquarone_ F. ;1;Literatura Juvenil
1321/89;s.d;370.01 / Ac 186L;Lendas e Tradições das Américas;Acquaviva_ Marcus Cláudio ;1;1- América - Antiguidades/ 2-Índios – Usos_ Costumes e Lendas
0131/23;2002;649.122 / A 187s;Sinais: A lingugagem dos bebês;Acredolo_ Linda;1;Comunicação bebês
419/16 – 420/16 (ex.2);2007;123.3 / A 189q;Quais são as suas chances;Aczel_ Amir;2;Acaso / Jogos de azar / Probabilidades
3478;1942;230.2 / Ad 193e;A Essência do Catolicismo;Adam_ Karl ;1;Dogmáticos – Escritores Católicos
0368/23;2009;823 / A 211g;O guia do mochileiro das galáxias;Adams_ Douglas;1;Literatura Inglesa
0233/91;1974;823 / Ad 211s;Shardik;Adams_ Richard ;1;Literatura  Inglesa – Romance
0747/08;2001;920 / A 191e;O Estouro das canetas;Adão_ Alcides;1;Auto Biografia - Adão_ Alcides_ 1912-1997
1174/89 – 847/90;1985;R 918.1 / Ad 193p;Panorama Geográfico do Brasil: Aspectos Físicos_ Humanos e Econômicos;Adas_ Melhem ;2;Brasil – Geografia – 2º Grau
0208/08;2000;918.1 / A 191p;Panorama Geográfico do Brasil: Aspectos Físicos_ Humanos e Econômicos;Adas_ Melhem ;1;Brasil - Geografia
1504/97;s.d.;R 362.5 / Ad 221f;A Fome: Crise ou Escândalo?;Adas_ Melhem ;1;1-Condições Sociais /2-Fome
716/90;1980;R 918.1 / Ad 221e;Estudos de Geografia do Brasil;Adas_ Melhem ;1;Brasil - Geografia
0196/85 – 0554/90 – 0553/90 – 0717/90;1974;R 918.1 / Ad 193e;Estudos de Geografia                           ;Adas_ Melhem ;4;1-Brasil Condições Econômicas  /2-Geografia Econômica /3-Geografia Humana - Brasil
0570/98 – 0569/98 – 0087/99 ;1995;R 372.891 / A 221g;Geografia: v. 3 – O Subdesenvolvimento e o Desenvolvimento Mundial e o Estudo da América;Adas_ Melhem ;4;1-Geografia / 2-Mercosul
0950/99 – 0949/99;1990;R 372.891 / Ad 191g;Geografia: Noções Básicas de Geografia;Adas_ Melhem ;2;Geografia – 1º Grau
1721/90 – 0719/95;1987;R 372.9 / Ad 221g;Geografia:  1º Grau;Adas_ Melhem ;2;1-Brasil – Geografia – 1º Grau /2-Noções Básicas de Geografia Geral e do Brasil
0013/97 – 0296/98;1991;R372.891 / Ad221g;Geografia: Aspectos Humanos e Naturais da Geografia do Brasil;Adas_ Melhem ;2;Geografia: a América - Brasil - Estudo e Ensino
0072/04;1993;R 918 / a 191G;Geografia: Aspectos Humanos e Naturais da Geografia do Brasil;Adas_ Melhem ;1;Geografia: a América - Brasil - Estudo e Ensino
0686/02;1988; 363.8 / Ad 221f;A Fome: Crise ou Escândalo?;Adas_ Melhem ;2;1-Fome - Patologia Social / 2- Problema Social - Fome
0003/97 – 0574/98 – 0541/99 – 1073/99;1995;R 372.891/ A 221g;Geografia: v. 4 – O Quadro Político e Econômico do Mundo Atual;Adas_ Melhem ;4;1-Geografia – Estudo e Ensino / 2-Geografia Física / 3-Condições Econômicas
0152/19;2010;808.899285 / A 215m;Meninos não entram;Adams_ Michelle Medlock;1;Literatura Juvenil
0133/18;2002;610.696 / A 211t;A Terapia do amor: trazendo saude com a melhor das terapias: humor e alegria;Adams_ Patch;1;Médico e Paciente / Ludoterapia
4958;1960;R 469.5 / F 363g;Gramática Tupi;Adaucto Fernandes;1;Língua Tupi - Gramática
179/78;1967;301.15 / Ad 237c;A Ciência da Natureza Humana;Adler_ Alfred ;1;Psicologia social
5215;1960;617 / Ad 237v;Você e a Cirurgia Plástica;Adler_ David ;1;Cirurgia Plástica
1389/96;c. 1986;823 / Ad 237d;Desejos Proibidos;Adler_ Elizabeth ;1;Literatura  Inglesa – Romance
1022/97;1993;176 / Ad 237b;Os Bordéis Franceses 1830-1930;Adler_ Laure ;1;Prostituição - França
6860;1959;370 / Ad 237L;Liberal Educacion;Adler_ Mortiner J. ;1;Educação - Ensino
6862;1960;510 / Ad 237f;Foundations of Science and Mathematics;Adler_ Mortiner J. ;1;Matemática
264/87;1984;370 / Ad 237p;A Proposta Paidéia: um Manifesto Educacional;Adler_ Mortiner Jerome ;1;Educação - Ensino
10525;1969;133 / Ad 237p;Psicologia Astrológica;Adler_ Oskar ;1;1-Astrologia como Ciência Oculta / 2-Psicologia Astrológica
373/75;1966;813 / Ad 237c;Uma Certa Casa Suspeita;Adler_ Polly ;1;Literatura Americana – Romance
0628/95;c. 1981;813 / Ad 237g;A Guerra dos Roses;Adler_ Warren ;1;Literatura Americana – Romance
0227/85 – 0610/85 – 1423/90;1982;869.93 / Ad 239v;As Velhas;Adonias Filho;3;Literatura Brasileira - Romance
294/83 – 1053/84 – 1281/84 – 1123/88 – 0480/01;1977;869.93 / Ad 239v;As Velhas;Adonias Filho;5;Literatura Brasileira - Romance
9872 – 856/75 – 0583/97;1962;869.93 / Ad 239c;Corpo Vivo;Adonias Filho;3;Literatura Brasileira - Romance
1223/90;1974;869.93 / Ad 239c;Corpo Vivo;Adonias Filho;1;Literatura Brasileira - Romance
0283/02;1984;869.93 / Ad 239c;Corpo Vivo;Adonias Filho;1;Literatura Brasileira - Romance
637/89;s.d;808.899282  / Ad 239f;Fora da Pista;Adonias Filho;1;Literatura Juvenil
70/80 – 0897/03;1978;869.93 / Ad 239f;Fora da Pista;Adonias Filho;2;Literatura Brasileira - Romance
295/83 – 841/84 – 986/88;1972;869.93 / Ad 239L;Léguas da Promissão;Adonias Filho;3;Literatura Brasileira - Romance
0010/06;1978;869.93 / Ad 239L;Léguas da Promissão;Adonias Filho;1;Literatura Brasileira - Novelas
163/73 – 870/75 – 185/76 – 464/78 – 222/80 – 407/82 – 406/82 – 405/82 – 554/83 – 609/84 – 428/85;1971;869.93 / Ad 239L;Luanda Beira Bahia;Adonias Filho;11;Literatura Brasileira - Romance
0395/05;1980;869.93 / Ad 239L;Luanda Beira Bahia;Adonias Filho;1;Literatura Brasileira - Romance
337/75 – 413/82 – 0574/97;1961;869.93 / Ad 239m;Memórias de Lázaro;Adonias Filho;3;Literatura Brasileira - Romance
7193;1965;869.9 / Ad 239m;Modernos Ficcionistas Brasileiros;Adonias Filho;1;Literatura Brasileira – Estudo e Ensino
554/84 – 807/86 – 894/88 – 60/90 – 0533/01 – 0076/03;1983;869.93 / Ad 239n;Noite Sem Madrugada;Adonias Filho;6;Literatura Brasileira - Romance
253/73 – 201/76 – 29/83 – 1054/84 – 570/89 – 571/89;1969;869.93 / Ad 239f;O Forte;Adonias Filho;6;Literatura Brasileira - Romance
0394/05;1976;869.93 / Ad 239f;O Forte;Adonias Filho;1;Literatura Brasileira - Romance
0078/03;1994;808.899282  / Ad 239m ;O Menino e o Cedro;Adonias Filho;1;1-Literatura Juvenil 
0456/99;1993;808.899282  / Ad 239m ;O Menino e o Cedro;Adonias Filho;1;1-Literatura Juvenil /2-Desafio de Crescer
536/77;s.d;808.899282 / Ad 239n;O Príncipe e o Pobre;Adonias Filho;1;Literatura Juvenil
253/76 – 254/76 – 1268/76 – 672/86;1975;869.93 / Ad 239s;Os Servos da Morte;Adonias Filho;4;Literatura Brasileira - Romance
335/85 – 0003/96 – 828/87;1973;808.899282 / Ad  239n;Uma Nota de Cem;Adonias Filho;3;Literatura Juvenil
0083/19 - 0208/22;2010;808.899282 / A241h;Halo: Um amor que ultrapassa as barreiras do céu e da Terra;Adornetto_ Alexandra;2;
1053/75;1975;133.93 / Ad 241m;A Magia do Verbo ou o Poder das Letras;Adoum_ Jorge ;1;Espiritismo
273/74;1974;133 / Ad 241e;Eu Sou;Adoum_ Jorge ;1;1-Breviário do Iniciado e Poder do Mago /2-Espiritualismo
561/75 – 671/88;1975;133.93 / Ad 241L;O Livro sem Título de um Autor sem Nome;Adoum_ Jorge ;2;Espiritualismo
173/78;1977;133.93 / Ad 241p;O Povo das Mil e Uma Noites;Adoum_ Jorge ;1;1-Cultura Árabe – História da /2-Espiritualismo – História da Cultura Árabes
687/88;1976;133.93 / Ad 241r;O Reino ou O Homem Desvendado;Adoum_ Jorge ;1;Espiritualismo
184/78;1967;869.93 / Ad 243d;Dr. Rida;Adri_ Henrique ;1;Literatura Brasileira - Romance
066/90;c. 1986;808.3 / Ad 243t;Terra da Morte;Adrian_ Jack ;1;Ficção Científica
1491/90;1982;301 / Af 256f;Fundamentos da Filosofia;Afanássiev_ V. G. ;1;Filosofia – Marxismo - Leninismo
;1984;869.94 / Sa 233p;Política e Paixão;Affonso de Sant'Anna;1;Literatura Brasileira - Crônicas
253/87;1981;342.981 / Af 258o;Oito anos de Parlamento;Afonso Celso_ de Assis Figueiredo Junior_ conde de;1;1-Monografia /2-Parlamentarismo – Governo – Direito Constitucional – Brasil
FEEMA;1994;981.08/ A 258c;O Contestado;Afonso_ Eduardo José;1;História do Brasil
FEEMA;1994;;O Contestado;Afonso_ Eduardo José;1;História do Brasil
9864 – 205/76;1966;923 / Y 21a;Yamamoto – o Homem que Atacou Pearl Harbour;Agawa_ Hiroyuki ;2;Yamamoto_ Isoroku - Biografia
1615/84;1975;323.973 / Ag 265d;Dentro da “Compahia”. Diário da Cia.;Agee_ Philip ;1;1-Política  Interna- Segurança dos Estados Unidos/ 2-Diário da Cia
2188/90;1986;338.945/Ag 271e;Entrevista sobre o Capitalismo Moderno;Agnelli_ Giovanni ;1;1-Capitalismo/2-Itália – Política Econômica /3-Política Econômica
512/75;1975;133.93 / Ag 273f;Fraternidade;Agni Yoga;1;Espiritualismo
502/77;1977;133.93 / Ag 273c;Comunidade;Agni Yoga Society;1;Espiritismo
FEEMA;1988;808.899282 / Ag 274h;História do País dos Míopes;Agnoletti_ Matilde;3;Literatura Infanto Juvenil
FEEMA;1992;808.899282 / Ag 274f;A Fábula da cegonha e outras;Agnoletti_ Matilde;4;Literatura Infanto Juvenil
509/83;1973;890 / Ag 274n;Noivado e Outros Contos;Agnon_ Shnuel Yoseph ;1;Literatura Israelense
1102/87;1976;869.1 / Ag 275p;Poemas de Angola;Agostinho  Neto_ Antonio  ;1;Poesia Angolana
1287/76;1974;572.81 / Ag 276k;Kwarip: Mito e Ritual no Alto Xingú;Agostinho_ Pedro ;1;1- Brasil - Antropologia Social - Etnologia/ 2- Índios da América do Sul – Brasil – Religião e Mitologia
0427/96;1993;281.4 / Ag 275v;A Vida Feliz: Diálogo Filosófico;Agostinho_ Santo;1;1-Espiritualidade /2-Felicidade
0724/96;1987;239 / Ag 275v;A Verdadeira Religião;Agostinho_ Santo;1;1-Apologética – Igreja Primtiva_ ca. 30-600 /2-Bem e Mal /3-Fé e Religião/4-Filosofia e Religião
0967/96;1984;922 / Ag 275c;Confissões;Agostinho_ Santo;1;1-Teologia – igreja primitiva _ 30-600 / 2-Santos Cristãos - biografia
0460/03 – 404/02;1997;981 / A 275b;Brasileiro _ Sim Senhor;Agostini_ João Carlos ;2;Brasil-História (2º grau)
0147/20;2005;111.84 / Ag275v;A natureza do bem;Agostino_ Santo;1;Filosofia
131/75;1959;R 371 / Ag 282d;Didática da Escola Nova;Aguayo_ A. M. ;1;Escola Nova / Pedagogia
1134/80;1979;918.42 / Ag 282d;Descrições Práticas da Província da Bahia;Aguiar_ Durval Vieira de ;1;Bahia – Descrições e Viagens- Século XIX
740/75;1970;352 / Ag 282s;O Servidor Municipal;Aguiar_ Joaquim Castro ;1;Administração Pública
200/83;1976;725 / Ag 282p;Palácio Monroe – da  Glória ao Opróbrio;Aguiar_ Louis de Souza ;1;1-Palácio Monroe – Demolição /2-Edifícios Públicos - Demolição
0137/18;2017;398 / A 282c;Celebrações e estudos do folclore brasileiro;Aguiar_ Luciana;1;Folclore
0624/98;1997;J 028.5 / Ag 282e;E agora? Meu irmão não está querendo nada.;Aguiar_ Luiz Antonio;1;Literatura Infanto Juvenil
0638/98;1997;J 028.5 / Ag 282u;Urgente! Papai precisa casar;Aguiar_ Luiz Antonio;1;Literatura Infanto Juvenil
1573/90 – 0310/97 – 0247/03 - 0180/08;1988;808.899282 / Ag 282c;A Cidade Apontada Para o Céu;Aguiar_ Luiz Antônio ;4;Literatura Juvenil
0333/10;1997;808.899282 / Ag  282c ;A garota e o roqueiro;Aguiar_ Luiz Antônio ;1;Literatura Juvenil
0280/98;1993;808.899282/ Ag  282c ;Confidências de um Pai Pedindo Arrego;Aguiar_ Luiz Antônio ;1;Literatura Juvenil
0463/07;1994;808.899282 / Ag  282c ;Confidências de um Pai Pedindo Arrego;Aguiar_ Luiz Antônio ;1;Literatura Juvenil
0515/08 - 0859/08;2002;808.899282 / Ag 282c;Corações Partidos;Aguiar_ Luiz Antônio ;2;Literatura Juvenil
0122/18;2004;808.899282 / Ag 282c;Corações Partidos;Aguiar_ Luiz Antônio ;1;Literatura Juvenil
0445/23;s.d.;808.899282 / A 283c;Corações Partidos;Aguiar_ Luiz Antônio ;1;Literatura Juvenil
0398/23;2003;808.899282 / A 283e;Era no tempo do rei;Aguiar_ Luiz Antônio ;1;Literatura Juvenil
0348/03;1989;923.281 / Ag 282a;Antônio da Silva Jardim: o herói da Proclamação da República;Aguiar_ Luiz Antônio ;1;Brasil - História - Proclamação da República
0863/07;1999;808.899282 / Ag 282m;Machado e Juca;Aguiar_ Luiz Antônio ;1;Literatura Juvenil
630/23;2011;808.899 282 / A 283m;Mitos da Civilização;Aguiar_ Luiz Antônio ;1;Literatura Juvenil
0327/10;2006;808.899282 / Ag 282c;O Cavaleiro das Palavras;Aguiar_ Luiz Antônio ;1;Literatura Juvenil
0474/08;1997;808.899282 / Ag 282m;O Mestre das Harpias;Aguiar_ Luiz Antônio ;1;Literatura Juvenil
0459/23;2005;808.899282 / A 283m;O mundo é dos canários;Aguiar_ Luiz Antônio ;1;Literatura Juvenil
FEEMA;1990;J 028.5 / A 282m;O Mundo encantado ;Aguiar_ Maria Alice;1;Literatura Infanto Juvenil
0556/23;s.d;923.1 / A 283v;Vitória na derrota: a morte de Getúlio Vargas;Aguiar_ Ronaldo Conde;1;História do Brasil
0040/04;1996;174.4 / A 283e;A ética nas empresas: maximizando resultados através de um conduta ética nos negócios;Aguilar_ Francis J.;1;Ética
0288/23;2002;982 / A 283a;O atroz encanto de ser argentino;Aguinis_ Marcos;1;Argentina
0482/03;2003;869.91 / A 282t;O Tempo;Agulhon_ Olga;1;Literatura Brasileira - Poesia
0466/03;2000;J 028.5 / A 282t;As três estatuetas de bronze;Agulhon_ Olga;1;Literatura Infanto - Juvenil
0074/19 - 0046/22;2015;920.7 / A284q;Quem_ eu?;Aguzzoli_ Fernando;2;Avós e netos - doença de Alzheimer - Experiência de vida
0198/95 – 0892/97;1989;813 / Ah 285r;Rio de Ouro;Ahern_ Jerry e S. A.;2;Literatura Americana – Romance
0063/17;2012;Ir 823 / A 285v;A vez da minha vida;Ahern_ Cecelia;1;Ficção Irlandesa
0122/17;2013;Ir 823 / A 285p;O Presente;Ahern_ Cecelia;1;Ficção Irlandesa
0050/22;2014;Ir 823 / A 285s;Simplesmente Acontece;Ahern_ Cecelia;1;Ficção Irlandesa
0075/89;1986;J 028.5 / Ah 285a;O aniversário do urso;Ahlberg_ Allan;1;Literatura Infanto Juvenil
80/89;1986;J 028.5 / Ah 285f;Faça uma careta;Ahlberg_ Allan;1;Literatura Infanto Juvenil
74/89;1986;J 028.5 / Ah 285p;O Porcão malvado;Ahlberg_ Allan;1;Literatura Infanto Juvenil
83/89;1986;J 028.5 / Ah 285e;Eu também;Ahlberg_ Allan;1;Literatura Infanto Juvenil
78/89;1986;808.899282 / Ah 285s;Socorro;Ahlberg_ Allan;1;Literatura Infanto Juvenil
87/89 – 88/89;1986;J 028.5 / Ah 285p;Pulando;Ahlberg_ Allan;2;Literatura Infanto Juvenil
81/89 – 82/89;1986;J 028.5 / Ah 285m;Minhoca feliz;Ahlberg_ Allan;2;Literatura Infanto Juvenil
409/84 ;1979;R 540 / Ai 288q;Química;Aichinger_ Ernesto Christiano ;1;Química orgânica
536/90 – 0174/99;1978;R 540 / Ai 288q;Química 2 (orgânica);Aichinger_ Ernesto Christiano ;2;Química orgânica
70/76;1975;869.91 /Ai 298p;O Piauí na Poesia Popular;Aires_ Félix ;1;Literatura Brasileira - Poesia
1022/98;1992;001.64 / A 311w;Word for Windows 2: em 23 lições;Aitken_ Peter G.;1;Informática
824/89;1986;J 028.5 / Ai 311e;Era uma vez duas avós;Aizen_ Naumim;1;Literatura Infanto Juvenil
29/77 – 31/77 – 33/77;S.D.;J 028.5 / Ai 311u;Utilidades dos animais;Aizen_ Naumim;3;Literatura Infanto Juvenil
100/76;S.D.;J 028.5 / Ai 311e;Espártaco;Aizen_ Naumim;1;Literatura Infanto Juvenil
