n_tombo;ano_edicao;classificacao;titulo_livro;autor;volume;assunto
497/81;s.d.;R 469.2 / So 725v;Vocabulário etimológico ortoépico e remissivo;Sousa_ Nilton O' Reilly;1;Vocabulário Etimológico
508/80 – 509/80 – 510/80;1954;923 / P 372s;A Vida de D. Pedro I;Sousa_ Octavio Tarquino de ;3;Pedro I_ Imperador do Brasil 1798-1834
0717/03;1972;R 923 / S 725v;A Vida de D. Pedro I;Sousa_ Octavio Tarquino de ;1;Pedro I_ Imperador do Brasil 1798-1834
781/90 ;1986;R 372.9  /So 725h;História Antiga e Medieval;Sousa_ Osvaldo Rodrigues de ;1;1-História Antiga (2º grau) /2-Idade Média
610;1949;923 / B 238s;Rui_ o Financista;Sousa_ Roberto Pinto de ;1;Biografia - Barbosa_ Ruy- 1849-1923 
295/81;1980;301.4 / So 729e;A Educação Sexual de Nossos Filhos;Sousa_ Ronald Pagnoncelli ;1;Educação Sexual da Criança
0459/05;1963;869.91 / So 725s;O Salto & o pára – quedas;Sousa_ Sávio Soares de;1;Literatura Brasileira – Poesia
944/89 – 945/89 – 946/89 – 411/79 – 412/79 – 413/79;1977;R 981.012 /So 727h;História do Brasil;Southey_ Robert ;6;Brasil - História
328/86;1984;813 / So 728s;A Sogra;Southworth_ Emma;1;Literatura Americana 
141/82 – 499/79 – 433/78;1969;R 901 / So 726h;História Geral;Souto Maior_ A.;3;História Geral
10522;1966;R 901 / So 726h;História Geral;Souto Maior_ A.;1;História Geral
150/82;1972;R 981 / So 726h;História do Brasil;Souto Maior_ Armando ;1;História  do Brasil
278/81;1978;981.043 / So 726q;Quebra-Quilos. Lutas Sociais no Outono do Império ;Souto Maior_ Armando ;1;Brasil – História – Revolta do Quebra-Quilos
10322;1972;390 / So 726c;Cachaça;Souto Maior_ Mário ;1;Brasil – Usos e Costumes
0673/03;1980;R 394.03 / S 726d;Dicionário do palavrão e termos afins;Souto Maior_ Mário ;1;Dicionário
4440;s.d.;715 / So 729c;Cercas Sertanejas;Souza Barros;1;Cadernos de Cultura. OS
